country,total_weekly_hours_worked(estimates_in_thousands),percentage_of_working_hrs_lost,percent_hours_lost_40hrs_per_week,percent_hours_lost_48hrs_per_week,labour_dependency_ratio,employed_female_25+_2019,employed_male_25+_2019,ratio_of_weekly_hours_worked_by_population_age_15-64
Afghanistan,350285.606,6.5,607.476,506.23,3.57,1334.243,5424.911,16.2
Angola,457913.43299999996,8.6,1075.838,896.5319999999999,1.7,4612.109,4724.669,27.1
Albania,49922.483,3.9,51.086999999999996,42.571999999999996,1.77,500.11199999999997,651.87,25.5
United Arab Emirates,320690.368,9.3,824.579,687.1489999999999,0.41,996.03,5111.77,38.6
Argentina,525994.01,21.0,3492.559,2910.466,1.43,7264.33,9496.190999999999,18.1
Armenia,31639.032000000003,16.8,159.418,132.84799999999998,1.72,407.158,519.975,15.8
Australia,403947.393,4.7,503.05300000000005,419.211,0.99,5017.147,5849.21,24.6
Austria,142519.045,10.5,417.616,348.01300000000003,1.05,1843.945,2109.049,23.8
Azerbaijan,153216.26,14.1,630.631,525.526,1.13,2106.548,2237.431,21.7
Burundi,203899.701,-0.1,-4.467,-3.7230000000000003,1.36,1931.6229999999998,1838.0770000000002,32.7
Belgium,164758.728,7.3,322.644,268.87,1.43,2104.738,2433.703,22.3
Benin,193658.604,3.2,161.66299999999998,134.719,1.53,1816.0520000000001,1961.556,29.2
Burkina Faso,323122.078,2.6,217.41400000000002,181.178,1.77,2373.467,2825.9709999999995,29.0
Bangladesh,2812817.837,12.2,9732.437,8110.365,1.67,16704.776,39120.428,25.1
Bulgaria,119513.123,6.0,189.273,157.727,1.41,1446.55,1662.408,26.9
Bahrain,41146.771,9.0,101.505,84.588,0.76,169.787,724.9010000000001,30.6
Bahamas,7071.776999999999,14.8,30.725,25.604,1.12,88.76100000000001,89.90299999999999,25.5
Bosnia and Herzegovina,40903.955,9.7,110.369,91.97399999999999,2.55,405.275,630.467,18.5
Belarus,165398.24,1.3,54.217,45.181000000000004,0.99,2201.323,2228.734,26.1
Belize,6547.331999999999,11.1,20.473,17.061,1.68,52.105,82.163,25.0
Bolivia,181961.22,20.5,1172.289,976.908,1.18,2022.9560000000001,2520.366,25.0
Brazil,3037976.789,14.9,13321.031,11100.858999999999,1.23,34791.765,46018.66,20.5
Barbados,4607.039000000001,10.4,13.338,11.115,1.07,63.388000000000005,64.389,24.1
Brunei Darussalam,8955.392,4.4,10.375,8.646,1.17,74.766,106.428,28.4
Bhutan,14032.632,11.9,47.559,39.632,1.2,131.936,201.132,26.4
Botswana,36136.906,6.4,61.876000000000005,51.563,2.12,369.495,403.17900000000003,24.8
Central African Republic,65138.828,5.0,85.036,70.86399999999999,1.57,584.0509999999999,715.193,25.1
Canada,567205.382,9.3,1455.596,1212.997,0.96,7971.517,8965.794,22.7
Channel Islands,2820.192,5.9,4.419,3.682,1.11,31.874000000000002,39.786,24.2
Switzerland,165645.895,3.8,165.668,138.056,0.85,1945.255,2249.777,29.0
Chile,274178.522,16.7,1373.181,1144.317,1.32,3404.3059999999996,4713.975,20.9
China,33243962.453,4.1,35499.789,29583.157000000003,0.81,306274.252,391436.456,32.8
Côte d'Ivoire,339054.893,4.2,370.211,308.509,2.22,2521.9410000000003,3812.659,23.1
Cameroon,424398.549,4.2,467.634,389.695,1.44,3918.367,4405.170999999999,29.0
"Congo, Democratic Republic of the",912738.406,6.6,1615.3020000000001,1346.085,1.92,10977.385,12194.538,19.9
Congo,72855.83,9.3,187.84900000000002,156.541,1.86,790.561,848.186,23.6
Colombia,801036.723,20.9,5284.354,4403.628,1.26,8485.082,11748.15,22.9
Comoros,8839.473,7.1,16.964000000000002,14.137,3.17,71.499,125.11200000000001,17.6
Cape Verde,7307.454000000001,13.3,28.013,23.345,1.82,83.13,101.899,19.6
Costa Rica,74936.948,17.5,396.022,330.019,1.34,792.453,1235.401,21.3
Cuba,174546.52,12.5,620.948,517.457,1.27,1764.0929999999998,2769.8,22.6
Cyprus,19179.205,14.6,82.194,68.495,1.03,240.949,294.71299999999997,23.0
Czechia,197622.982,4.3,224.61,187.175,1.16,2262.931,2808.0229999999997,28.8
Germany,1400830.793,6.3,2354.46,1962.05,1.09,17931.513,20561.755,26.0
Djibouti,13871.065,6.8,25.386999999999997,21.156,1.76,121.171,192.174,21.1
Denmark,94071.469,3.3,79.025,65.854,1.08,1142.972,1312.896,25.6
Dominican Republic,161608.408,15.5,742.2860000000001,618.572,1.62,1668.362,2446.326,22.9
Algeria,415765.777,11.6,1362.2420000000002,1135.201,2.61,1861.749,8228.521,15.2
Ecuador,260862.435,17.6,1391.951,1159.9589999999998,1.32,2855.862,4041.473,22.7
Egypt,1126411.1570000001,9.5,2971.985,2476.654,2.31,4360.616,19475.926,18.1
Eritrea,46972.555,14.7,201.93200000000002,168.27700000000002,1.29,515.4169999999999,608.132,24.4
Western Sahara,7915.984,8.2,17.732,14.777000000000001,1.92,39.272,140.613,19.1
Spain,632419.656,13.2,2412.864,2010.72,1.47,8526.593,10246.208,20.6
Estonia,24201.696,4.5,28.225,23.521,1.34,301.975,321.927,28.9
Ethiopia,1446939.754,9.5,3802.008,3168.34,1.29,16381.662,19110.676,22.3
Finland,90321.06300000001,1.3,30.853,25.711,1.19,1103.607,1191.265,26.5
Fiji,14856.976,6.3,24.901999999999997,20.752,1.4,98.685,200.84099999999998,25.4
France,918518.662,8.4,2111.313,1759.4270000000001,1.4,12248.471000000001,13082.73,22.2
Gabon,23903.213,8.3,53.853,44.876999999999995,3.06,191.304,344.92400000000004,18.1
United Kingdom,1055314.545,12.8,3888.6540000000005,3240.545,1.12,13954.781,15822.501,24.4
Georgia,58559.708,13.1,220.322,183.601,1.3,801.8919999999999,869.405,22.7
Ghana,494845.06899999996,4.7,614.43,512.025,1.48,4752.1720000000005,5426.397,26.7
Guinea,148245.703,7.6,303.0,252.5,2.09,1716.793,1453.484,20.9
Gambia,31148.112,7.7,64.752,53.96,2.43,228.563,310.335,24.1
Guinea-Bissau,26609.193,8.9,65.244,54.37,1.53,279.755,310.726,24.5
Equatorial Guinea,19752.944,8.5,45.69,38.075,1.87,151.892,269.384,23.1
Greece,136984.055,12.6,492.87300000000005,410.728,1.53,1545.297,2189.305,20.5
Guatemala,261991.125,16.4,1286.982,1072.485,1.78,1829.065,3403.04,23.7
Guam,2941.304,9.6,7.787000000000001,6.489,1.28,26.519000000000002,37.266,26.6
Guyana,9863.276,12.5,35.224000000000004,29.354,2.02,81.865,128.97,19.2
"Hong Kong, China",144957.601,8.6,341.161,284.301,1.01,1745.445,1786.359,28.0
Honduras,136185.904,24.3,1093.766,911.471,1.6,1304.032,2007.517,21.3
Croatia,60768.032999999996,5.5,88.78,73.984,1.54,729.8860000000001,840.814,23.1
Haiti,169115.612,7.6,346.974,289.145,1.82,1858.0539999999999,2060.451,23.8
Hungary,163936.297,5.2,223.98,186.65,1.62,1935.652,2321.126,25.9
Indonesia,4639060.401000001,8.2,10424.883,8687.403,1.22,44195.655999999995,67702.037,25.0
India,18071871.505,13.7,71600.118,59666.765,1.83,86632.141,330467.179,19.5
Ireland,73422.494,12.5,262.844,219.03599999999997,1.35,931.2589999999999,1112.37,23.0
"Iran, Islamic Republic of",1035206.194,5.9,1632.411,1360.342,2.55,4058.9309999999996,18648.716,17.9
Iraq,349301.91799999995,10.8,1053.776,878.1469999999999,3.46,902.815,6632.726,14.8
Iceland,7247.0509999999995,6.3,12.145,10.121,0.82,76.343,87.771,32.7
Israel,124508.94699999999,9.2,316.841,264.035,1.38,1517.4920000000002,1692.727,24.1
Italy,745249.6059999999,13.5,2897.255,2414.379,1.64,9494.895,12970.378999999999,19.3
Jamaica,53195.715,11.3,169.39,141.158,1.47,563.698,684.055,26.6
Jordan,95457.65699999999,10.4,277.578,231.315,3.37,328.64099999999996,1591.96,14.8
Japan,2392471.469,5.4,3398.44,2832.033,1.02,27174.068,34800.777,32.0
Kazakhstan,287781.215,11.5,939.211,782.676,0.99,3762.105,4045.7659999999996,24.3
Kenya,854946.5240000001,9.5,2238.344,1865.287,1.58,9280.059000000001,9524.823,27.0
Kyrgyzstan,80275.183,11.7,265.595,221.33,1.44,801.1610000000001,1251.836,19.6
Cambodia,391194.289,4.8,492.39099999999996,410.32599999999996,0.77,3550.765,3635.0559999999996,36.4
"Korea, Republic of",1054518.328,3.7,1024.019,853.3489999999999,1.04,10848.61,14864.593,28.7
Kuwait,89724.177,16.4,440.417,367.014,0.91,547.831,1727.65,27.8
Lao People's Democratic Republic,157677.005,4.3,179.233,149.361,1.03,1431.75,1527.17,34.0
Lebanon,94901.651,10.3,273.809,228.174,2.09,452.241,1527.096,20.6
Liberia,89599.709,9.0,222.31599999999997,185.263,1.38,782.666,848.175,31.5
Libya,79993.196,9.3,206.02900000000002,171.69099999999997,2.57,609.506,1276.4589999999998,17.2
Saint Lucia,3347.042,9.8,9.067,7.556,1.28,37.493,42.474,25.4
Sri Lanka,305347.042,9.9,839.294,699.4110000000001,1.58,2448.888,4953.541,21.9
Lesotho,27435.134,7.4,55.083999999999996,45.903,2.08,273.678,349.629,20.4
Lithuania,47942.555,6.1,77.611,64.676,1.51,649.02,620.464,27.6
Luxembourg,10966.125,3.7,10.633,8.861,1.23,123.322,148.666,25.0
Latvia,33459.341,3.3,28.766,23.971999999999998,1.45,440.599,426.42699999999996,28.2
"Macau, China",16653.861,1.9,8.139,6.782,0.67,169.997,180.45,34.8
Morocco,428498.23,14.1,1763.973,1469.977,2.09,2335.6710000000003,7454.4890000000005,17.7
"Moldova, Republic of",42694.907,12.9,157.504,131.253,2.1,619.274,644.2719999999999,14.8
Madagascar,433007.648,6.9,802.4,668.6669999999999,1.08,4695.859,4904.532,27.5
Maldives,12375.27,11.4,39.667,33.056,1.55,47.315,192.30200000000002,29.8
Mexico,2116040.526,12.5,7526.446999999999,6272.039000000001,1.47,18169.421000000002,28262.88,24.7
North Macedonia,28098.113999999998,13.8,112.719,93.932,2.22,301.647,445.10900000000004,19.5
Mali,282815.38,3.3,239.149,199.291,1.92,1964.53,2787.45,27.6
Malta,7286.781999999999,10.6,21.654,18.045,1.53,76.855,110.87700000000001,25.7
Myanmar,961100.243,13.4,3727.011,3105.842,1.14,7751.563,11880.181,25.9
Montenegro,9679.698,7.8,20.451,17.043,2.18,96.66799999999999,123.009,23.3
Mongolia,64748.16099999999,2.5,42.082,35.069,1.48,549.59,647.5319999999999,30.6
Mozambique,356670.388,5.2,491.028,409.19,1.31,4836.529,4353.927,21.5
Mauritania,42090.184,5.3,58.63399999999999,48.861000000000004,3.1,295.621,661.457,15.8
Mauritius,19541.343999999997,6.7,35.259,29.383000000000003,1.38,192.83900000000003,315.752,21.7
Malawi,273451.929,5.1,364.827,304.02299999999997,1.56,2608.322,2804.1409999999996,26.3
Malaysia,621110.936,11.1,1931.3139999999999,1609.4279999999999,1.38,5039.873,8116.68,27.7
Namibia,31166.81,5.9,48.763999999999996,40.637,2.57,334.985,326.14599999999996,20.6
New Caledonia,4976.935,3.5,4.476,3.73,1.38,47.176,57.458,25.6
Niger,338809.14,1.1,93.00299999999999,77.503,1.53,2453.468,3185.344,29.3
Nigeria,2321838.336,8.9,5649.647,4708.039000000001,2.1,20343.874,26736.851000000002,20.9
Nicaragua,102673.0,3.7,97.24,81.033,1.53,972.189,1384.745,23.9
Netherlands,274172.915,4.3,304.57599999999996,253.81400000000002,0.98,3482.454,4111.4529999999995,24.9
Norway,91388.88900000001,2.5,58.41,48.675,0.94,1125.325,1276.5710000000001,25.8
Nepal,553579.828,17.4,2918.587,2432.155,0.92,6534.932,5009.104,29.1
