iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density
BRN,Brunei,9/3/2020,1.0,1.0,,,2.245,2.245,,,,,,,,,,,,,,,,,,,,,,,,,19.44,445373,81.347
BRN,Brunei,10/3/2020,1.0,0.0,,,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,,,19.44,445373,81.347
BRN,Brunei,11/3/2020,11.0,10.0,,,24.698,22.453,,,,,,,,,,,,,,,,,,,,,,,,,30.56,445373,81.347
BRN,Brunei,12/3/2020,11.0,0.0,,,24.698,0.0,,,,,,,,,,,,,,,,,,,,,,,,,30.56,445373,81.347
BRN,Brunei,13/3/2020,37.0,26.0,,,83.076,58.378,,,,,,,,,,,,,,,,,,,,,,,,,50.0,445373,81.347
BRN,Brunei,14/3/2020,40.0,3.0,,,89.812,6.736,,,,,,,,,,,,,,,,,,,,,,,,,50.0,445373,81.347
BRN,Brunei,15/3/2020,50.0,10.0,,,112.265,22.453,,,,,,,,,,,,,,,,,,,,,,,,,50.0,445373,81.347
BRN,Brunei,16/3/2020,54.0,4.0,,,121.247,8.981,,,,,,,,,,,,,,,,,,,,,,,,,50.0,445373,81.347
BRN,Brunei,17/3/2020,56.0,2.0,,,125.737,4.491,,,,,,,,,,,,,,,,,,,,,,,,,50.0,445373,81.347
BRN,Brunei,18/3/2020,68.0,12.0,,,152.681,26.944,,,,,,,,,,,,,,,,,,,,,,,,,50.0,445373,81.347
BRN,Brunei,19/3/2020,75.0,7.0,,,168.398,15.717,,,,,,,,,,,,,,,,,,,,,,,,,50.0,445373,81.347
BRN,Brunei,20/3/2020,78.0,3.0,,,175.134,6.736,,,,,,,,,,,,,,,,,,,,,,,,,50.0,445373,81.347
BRN,Brunei,21/3/2020,83.0,5.0,,,186.361,11.227,,,,,,,,,,,,,,,,,,,,,,,,,50.0,445373,81.347
BRN,Brunei,22/3/2020,88.0,5.0,,,197.587,11.227,,,,,,,,,,,,,,,,,,,,,,,,,50.0,445373,81.347
BRN,Brunei,23/3/2020,91.0,3.0,,,204.323,6.736,,,,,,,,,,,,,,,,,,,,,,,,,50.0,445373,81.347
BRN,Brunei,24/3/2020,104.0,13.0,,,233.512,29.189,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,25/3/2020,109.0,5.0,,,244.739,11.227,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,26/3/2020,114.0,5.0,,,255.965,11.227,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,27/3/2020,115.0,1.0,,,258.211,2.245,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,28/3/2020,120.0,5.0,1.0,1.0,269.437,11.227,2.245,2.245,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,29/3/2020,126.0,6.0,1.0,0.0,282.909,13.472,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,30/3/2020,127.0,1.0,1.0,0.0,285.154,2.245,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,31/3/2020,129.0,2.0,1.0,0.0,289.645,4.491,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,1/4/2020,131.0,2.0,1.0,0.0,294.135,4.491,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,2/4/2020,133.0,2.0,1.0,0.0,298.626,4.491,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,3/4/2020,134.0,1.0,1.0,0.0,300.871,2.245,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,4/4/2020,135.0,1.0,1.0,0.0,303.117,2.245,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,5/4/2020,135.0,0.0,1.0,0.0,303.117,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,6/4/2020,135.0,0.0,1.0,0.0,303.117,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,7/4/2020,135.0,0.0,1.0,0.0,303.117,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,8/4/2020,135.0,0.0,1.0,0.0,303.117,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,9/4/2020,135.0,0.0,1.0,0.0,303.117,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,10/4/2020,136.0,1.0,1.0,0.0,305.362,2.245,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347
BRN,Brunei,11/4/2020,136.0,0.0,1.0,0.0,305.362,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,12/4/2020,136.0,0.0,1.0,0.0,305.362,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,13/4/2020,136.0,0.0,1.0,0.0,305.362,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,14/4/2020,136.0,0.0,1.0,0.0,305.362,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,15/4/2020,136.0,0.0,1.0,0.0,305.362,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,16/4/2020,136.0,0.0,1.0,0.0,305.362,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,17/4/2020,136.0,0.0,1.0,0.0,305.362,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,18/4/2020,137.0,1.0,1.0,0.0,307.607,2.245,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,19/4/2020,138.0,1.0,1.0,0.0,309.853,2.245,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,20/4/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,21/4/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,22/4/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,23/4/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,24/4/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,25/4/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,26/4/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,27/4/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,28/4/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,29/4/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,30/4/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,1/5/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,2/5/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,3/5/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,4/5/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,5/5/2020,138.0,0.0,1.0,0.0,309.853,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,6/5/2020,139.0,1.0,1.0,0.0,312.098,2.245,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,7/5/2020,141.0,2.0,1.0,0.0,316.589,4.491,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,8/5/2020,141.0,0.0,1.0,0.0,316.589,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
BRN,Brunei,9/5/2020,141.0,0.0,1.0,0.0,316.589,0.0,2.245,0.0,,,,,,,,,,,,,,,,,,,,,,,58.33,445373,81.347
